approach,system,steps,min_total_core,max_total_core,resources,classes,sla
BNV1-0.5,system_26,97,104.4,104.4,10,12,300.0
BNV2-2.0,system_26,33,100.7,108.0,10,12,300.0
BNV2-4.0,system_26,16,101.5,114.0,10,12,300.0
BNV2-1.0,system_26,61,98.7,105.0,10,12,300.0
AMPL,system_26,0,89.71,0,10,12,300.0
BNV1-4.0,system_27,4,110.0,110.0,10,12,300.0
BNV1-2.0,system_27,9,84.0,84.0,10,12,300.0
BNV1-1.0,system_27,16,76.0,76.0,10,12,300.0
BNV1-0.5,system_27,33,75.5,75.5,10,12,300.0
BNV2-2.0,system_27,20,76.0,82.0,10,12,300.0
BNV2-4.0,system_27,10,77.5,82.0,10,12,300.0
BNV2-1.0,system_27,26,73.4,77.0,10,12,300.0
AMPL,system_27,0,70.33,0,10,12,300.0
BNV1-4.0,system_28,4,110.0,110.0,10,12,300.0
BNV1-2.0,system_28,9,84.0,84.0,10,12,300.0
BNV1-1.0,system_28,16,76.0,76.0,10,12,300.0
BNV1-0.5,system_28,33,75.5,75.5,10,12,300.0
BNV2-2.0,system_28,20,76.0,82.0,10,12,300.0
BNV2-4.0,system_28,10,77.5,82.0,10,12,300.0
BNV2-1.0,system_28,26,73.4,77.0,10,12,300.0
AMPL,system_28,0,70.33,0,10,12,300.0
BNV1-4.0,system_29,7,110.0,110.0,10,12,300.0
BNV1-2.0,system_29,18,98.0,98.0,10,12,300.0
BNV1-1.0,system_29,38,99.0,99.0,10,12,300.0
BNV1-0.5,system_29,74,96.1,96.1,10,12,300.0
BNV2-2.0,system_29,22,91.9,100.0,10,12,300.0
BNV2-4.0,system_29,13,93.0,106.0,10,12,300.0
BNV2-1.0,system_29,49,93.7,99.0,10,12,300.0
AMPL,system_29,0,80.98,0,10,12,300.0
BNV1-4.0,system_30,7,110.0,110.0,10,12,300.0
BNV1-2.0,system_30,18,98.0,98.0,10,12,300.0
BNV1-1.0,system_30,38,99.0,99.0,10,12,300.0
BNV1-0.5,system_30,74,96.1,96.1,10,12,300.0
BNV2-2.0,system_30,22,91.9,100.0,10,12,300.0
BNV2-4.0,system_30,13,93.0,106.0,10,12,300.0
BNV2-1.0,system_30,49,93.7,99.0,10,12,300.0
AMPL,system_30,0,80.98,0,10,12,300.0
BNV1-4.0,system_31,7,110.0,110.0,10,12,300.0
BNV1-2.0,system_31,18,98.0,98.0,10,12,300.0
BNV1-1.0,system_31,38,99.0,99.0,10,12,300.0
BNV1-0.5,system_31,74,96.1,96.1,10,12,300.0
BNV2-2.0,system_31,22,91.9,100.0,10,12,300.0
BNV2-4.0,system_31,13,93.0,106.0,10,12,300.0
BNV2-1.0,system_31,49,93.7,99.0,10,12,300.0
AMPL,system_31,0,80.98,0,10,12,300.0
BNV1-4.0,system_32,26,206.0,206.0,10,12,300.0
BNV1-2.0,system_32,51,190.0,190.0,10,12,300.0
